# Experimental data
# q	uq2
10	0.000125
11	0.00012
12	0.00009
13	0.000092
14	0.00009
15	0.00007
16	0.000065
17	0.00005
18	0.000045
19	0.00004
20	0.000043
21	0.000038
22	0.000033
23	0.000024
24	0.000028
25	0.000023
26	0.000025
27	0.000025
28	0.00002
29	0.000018
30	0.000019
31	0.000021
32	0.000017
33	0.000014
34	0.000011
35	0.000014
36	0.0000145
37	0.00001
38	0.000009
39	0.0000073
40	0.0000075
41	0.000007
42	0.000007
43	0.000006
44	0.0000055
45	0.000005
46	0.000005
47	0.0000045
48	0.0000042
49	0.000004
50	0.0000035
51	0.000003
52	0.000003
53	0.000003
54	0.0000025
55	0.0000025
56	0.0000025
57	0.000002
58	0.000002
59	0.000002
60	0.0000018
